evidence_group,experiment,region,target,lead_months,model,calibration,reference,n_months,bss,ci_low,ci_high,status,signal_flag,interpretation,source_file,paper_priority
multi_region_selected_checkpoint,multi_region_spi1_lead1,Mediterranean Spain bounding box (basin-mask sensitivity),SPI-1 dry fraction,1,spatial XGBoost,isotonic,monthly climatology,63,-0.0845885935465671,-0.2343410217289551,0.0340980808411184,not_distinguishable_from_climatology,,Region slug=mediterranean_spain_basin_masked; raw BSS=-0.484.,results/multiregion/multiregion_summary.csv,True
multi_region_selected_checkpoint,multi_region_spi1_lead1,Murray-Darling Basin bounding box (basin-mask sensitivity),SPI-1 dry fraction,1,tabular XGBoost,platt,monthly climatology,63,-0.6394547610524957,-1.308198580874294,-0.2784625144252496,robust_negative,,Region slug=murray_darling_basin_masked; raw BSS=-0.696.,results/multiregion/multiregion_summary.csv,True
operational_dynamical_benchmark,operational_spi1_lead1_nmme_probability,California Central Valley,SPI-1 dry fraction,1,CPC NMME probability forecast selected,selected,monthly climatology,52,0.131401010141243,-0.3039786502384342,0.3378811510712059,positive_uncertain,,Official CPC NMME below-normal precipitation probability mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_PROB_ADJ_MON.,outputs/operational_nmme_cpc_prob_spi1_lead1_monthly_scores.csv,True
operational_dynamical_benchmark,operational_spi3_lead3_nmme_anomaly,California Central Valley,SPI-3 dry fraction,3,CPC NMME anomaly forecast selected,selected,monthly climatology,59,0.0858025111458475,-0.2246673461488508,0.2611916184681341,positive_uncertain,,CPC NMME precipitation-anomaly forecast mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_ENSMEAN.,outputs/operational_nmme_cpc_spi3_lead3_monthly_scores.csv,True
operational_dynamical_benchmark,operational_spi6_lead6_nmme_probability,California Central Valley,SPI-6 dry fraction,6,CPC NMME probability forecast raw,raw,monthly climatology,49,0.0353034873787889,-0.4299273073279179,0.2545532788263083,positive_uncertain,,Official CPC NMME below-normal precipitation probability mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_PROB_ADJ_MON.,outputs/operational_nmme_cpc_prob_spi6_lead6_monthly_scores.csv,True
operational_dynamical_benchmark,operational_spi3_lead3_nmme_probability,California Central Valley,SPI-3 dry fraction,3,CPC NMME probability forecast raw,raw,monthly climatology,51,0.0069125404154212,-0.5487199956676402,0.2429389671433061,positive_uncertain,,Official CPC NMME below-normal precipitation probability mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_PROB_ADJ_MON.,outputs/operational_nmme_cpc_prob_spi3_lead3_monthly_scores.csv,True
operational_dynamical_benchmark,operational_spi1_lead1_nmme_anomaly,California Central Valley,SPI-1 dry fraction,1,CPC NMME anomaly forecast selected,selected,monthly climatology,63,0.0024766561335314,-0.4375136516117086,0.2389126983182886,positive_uncertain,,CPC NMME precipitation-anomaly forecast mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_ENSMEAN.,outputs/operational_precip_benchmark_monthly_scores.csv,True
operational_dynamical_benchmark,operational_spi3_lead3_nmme_probability,California Central Valley,SPI-3 dry fraction,3,CPC NMME probability forecast selected,selected,monthly climatology,51,-0.2117161454000207,-1.1475935214809891,0.176255096397894,not_distinguishable_from_climatology,,Official CPC NMME below-normal precipitation probability mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_PROB_ADJ_MON.,outputs/operational_nmme_cpc_prob_spi3_lead3_monthly_scores.csv,True
operational_dynamical_benchmark,operational_spi1_lead1_nmme_probability,California Central Valley,SPI-1 dry fraction,1,CPC NMME probability forecast raw,raw,monthly climatology,52,-0.2479407041692016,-1.222715149229712,0.0946098960824396,not_distinguishable_from_climatology,,Official CPC NMME below-normal precipitation probability mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_PROB_ADJ_MON.,outputs/operational_nmme_cpc_prob_spi1_lead1_monthly_scores.csv,True
operational_dynamical_benchmark,operational_spi6_lead6_nmme_anomaly,California Central Valley,SPI-6 dry fraction,6,CPC NMME anomaly forecast selected,selected,monthly climatology,62,-0.3439270193080728,-1.1300287199472725,0.1127164978396692,not_distinguishable_from_climatology,,CPC NMME precipitation-anomaly forecast mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_ENSMEAN.,outputs/operational_nmme_cpc_spi6_lead6_monthly_scores.csv,True
operational_dynamical_benchmark,operational_spi6_lead6_nmme_probability,California Central Valley,SPI-6 dry fraction,6,CPC NMME probability forecast selected,selected,monthly climatology,49,-0.4086320302452966,-1.693179669868499,0.1628936573116141,not_distinguishable_from_climatology,,Official CPC NMME below-normal precipitation probability mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_PROB_ADJ_MON.,outputs/operational_nmme_cpc_prob_spi6_lead6_monthly_scores.csv,True
seasonal_regional_longlead,seasonal_spi6_lead6_nino34,mediterranean_spain_basin_masked,SPI-6 dry fraction,6,XGBoost seasonal isotonic,isotonic,monthly climatology,62,0.07758,0.00447,0.16189,robust_positive,positive_calibration_shift,climate_features=nino34; mask=basin; corr_iso_obs=0.041; std_ratio_iso_obs=0.104,outputs/seasonal/mediterranean_spain_basin_masked/seasonal_spi6_lead6_climate_nino34_experiment_scores.txt,True
seasonal_regional_longlead,seasonal_spi3_lead3_nino34,mediterranean_spain_basin_masked,SPI-3 dry fraction,3,XGBoost seasonal isotonic,isotonic,monthly climatology,59,-0.06686,-0.14144,-0.01238,robust_negative,no_positive_signal,climate_features=nino34; mask=basin; corr_iso_obs=-0.313; std_ratio_iso_obs=0.107,outputs/seasonal/mediterranean_spain_basin_masked/seasonal_spi3_lead3_climate_nino34_experiment_scores.txt,True
seasonal_regional_longlead,seasonal_spi6_lead6_nino34,southern_great_plains_basin_masked,SPI-6 dry fraction,6,XGBoost seasonal isotonic,isotonic,monthly climatology,62,-0.08677,-0.14284,-0.00969,robust_negative,no_positive_signal,climate_features=nino34; mask=basin; corr_iso_obs=0.402; std_ratio_iso_obs=0.121,outputs/seasonal/southern_great_plains_basin_masked/seasonal_spi6_lead6_climate_nino34_experiment_scores.txt,True
seasonal_regional_longlead,seasonal_spi6_lead6_all,southern_great_plains_basin_masked,SPI-6 dry fraction,6,XGBoost seasonal isotonic,isotonic,monthly climatology,62,-0.11372,-0.22748,-0.01641,robust_negative,no_positive_signal,climate_features=all; mask=; corr_iso_obs=0.114; std_ratio_iso_obs=0.299,outputs/seasonal/southern_great_plains_basin_masked/seasonal_spi6_lead6_experiment_scores.txt,True
seasonal_regional_longlead,seasonal_spi3_lead3_nino34,murray_darling_basin_masked,SPI-3 dry fraction,3,XGBoost seasonal isotonic,isotonic,monthly climatology,59,-1.09948,-2.28336,-0.45872,robust_negative,no_positive_signal,climate_features=nino34; mask=basin; corr_iso_obs=0.238; std_ratio_iso_obs=0.375,outputs/seasonal/murray_darling_basin_masked/seasonal_spi3_lead3_climate_nino34_experiment_scores.txt,True
seasonal_regional_longlead,seasonal_spi6_lead6_nino34,murray_darling_basin_masked,SPI-6 dry fraction,6,XGBoost seasonal isotonic,isotonic,monthly climatology,62,-2.12116,-3.11742,-1.2946,robust_negative,raw_signal_lost_after_calibration,climate_features=nino34; mask=basin; corr_iso_obs=0.332; std_ratio_iso_obs=0.435,outputs/seasonal/murray_darling_basin_masked/seasonal_spi6_lead6_climate_nino34_experiment_scores.txt,True
temporal_robustness,holdout_2009_2012,California Central Valley,SPI-1 dry fraction,1,Tabular XGBoost rolling holdout,isotonic,train calendar-month climatology,48,-0.0036354449866997,-0.4549650000812159,0.1612424649016886,negative_uncertain,,test_years=2009-2012; test_minus_train_dry_mean=-0.032; monthly_bias=0.070,results/temporal/temporal_robustness_summary.csv,True
temporal_robustness,holdout_2017_2020,California Central Valley,SPI-1 dry fraction,1,Tabular XGBoost rolling holdout,isotonic,train calendar-month climatology,48,-0.0095476327589405,-0.4258424847275631,0.2131427507002207,negative_uncertain,,test_years=2017-2020; test_minus_train_dry_mean=0.014; monthly_bias=0.029,results/temporal/temporal_robustness_summary.csv,True
temporal_robustness,canonical_2021_2026,California Central Valley,SPI-1 dry fraction,1,Tabular XGBoost rolling holdout,isotonic,train calendar-month climatology,63,-0.0252709978252347,-0.1599543729702329,0.0868465661902636,negative_uncertain,,test_years=2021-2026; test_minus_train_dry_mean=0.040; monthly_bias=-0.040,results/temporal/temporal_robustness_summary.csv,True
temporal_robustness,holdout_2013_2016,California Central Valley,SPI-1 dry fraction,1,Tabular XGBoost rolling holdout,isotonic,train calendar-month climatology,48,-0.07726818876076,-0.3154360132709066,0.098062193397119,negative_uncertain,,test_years=2013-2016; test_minus_train_dry_mean=0.019; monthly_bias=-0.075,results/temporal/temporal_robustness_summary.csv,True
temporal_robustness,holdout_2005_2008,California Central Valley,SPI-1 dry fraction,1,Tabular XGBoost rolling holdout,isotonic,train calendar-month climatology,48,-0.0892236489748374,-0.3220825662864762,0.1253474833792389,negative_uncertain,,test_years=2005-2008; test_minus_train_dry_mean=0.014; monthly_bias=-0.025,results/temporal/temporal_robustness_summary.csv,True
